car_id,year,make,model_trim_as_listed,hvt_url,hvt_spec,edition_date,v1_value,v1_hi,v1_lo,v2_value,v2_hi,v2_lo,v3_value,v3_hi,v3_lo,v4_value,v4_hi,v4_lo,quarterly_change,annual_change,three_year_change,trend_1_date,trend_1_value,trend_2_date,trend_2_value,trend_3_date,trend_3_value,trend_4_date,trend_4_value,exact_match,notes
49,1987,Buick,Grand National,https://www.hagerty.com/valuation-tools/buick/regal/1987/1987-buick-regal-grand_national?id=aCn1I000000Ct4lSAC,"2dr Coupe, 6-cyl. 231cid/245hp Turbo SFI",Jul 2026,"$96,900","$103,833","$89,967","$76,100","$83,033","$64,433","$41,100","$52,767","$35,833","$25,300","$30,567","$20,033",0%,+10.2%,-4.9%,Jul 2026,"$41,100",Apr 2026,"$41,100",Jan 2026,"$39,500",Oct 2025,"$39,500",yes,No adjustments available. Generation 1978-1987 Buick Regal.
50,1990,Chevrolet,Corvette ZR-1,https://www.hagerty.com/valuation-tools/chevrolet/corvette/1990/1990-chevrolet-corvette-zr~1?id=aCn1I000000CyvjSAC,"2dr Coupe, 8-cyl. 350cid/375hp TPI",Jul 2026,"$71,800","$77,967","$65,633","$53,300","$59,467","$43,133","$22,800","$32,967","$19,800","$13,800","$16,800","$10,800",-4.2%,-1.3%,-3%,Jul 2026,"$22,800",Apr 2026,"$23,800",Jan 2026,"$23,800",Oct 2025,"$23,800",yes,No adjustments available. Generation 1984-1996 Chevrolet Corvette.
51,1985,Chevrolet,Camaro IROC-Z,https://www.hagerty.com/valuation-tools/chevrolet/camaro/1985/1985-chevrolet-camaro-iroc~z?id=aCn1I000000DOcoSAG,"2dr Sport Coupe, 8-cyl. 305cid/215hp TPI",Jul 2026,"$51,200","$56,300","$46,100","$35,900","$41,000","$30,333","$19,200","$24,767","$16,433","$10,900","$13,667","$8,133",0%,+12.3%,-9.9%,Jul 2026,"$19,200",Apr 2026,"$19,200",Jan 2026,"$17,100",Oct 2025,"$17,100",yes,-50% for 4-cyl; +10% for T-tops (not applied)
52,1993,Ford,Mustang SVT Cobra,https://www.hagerty.com/valuation-tools/ford/mustang/1993/1993-ford-mustang-5.0_svt_cobra?id=aCn1I000000DCgESAW,"3dr Hatchback, 8-cyl. 302cid/235hp SFI",Jul 2026,"$132,000","$152,233","$111,767","$71,300","$91,533","$60,700","$39,500","$50,100","$31,967","$16,900","$24,433","$9,367",0%,0%,-2%,Jul 2026,"$39,500",Apr 2026,"$39,500",Jan 2026,"$39,500",Oct 2025,"$39,500",yes,No adjustments available
53,1989,Jeep,Grand Wagoneer,https://www.hagerty.com/valuation-tools/jeep/grand_wagoneer/1989/1989-jeep-grand_wagoneer-base?id=aCn1I000000DJYDSA4,"4dr Station Wagon 4x4, 8-cyl. 360cid/144hp 2bbl OHV",Jul 2026,"$82,300","$92,700","$71,900","$51,100","$61,500","$42,600","$25,600","$34,100","$20,133","$9,200","$14,667","$3,733",+8%,+8.9%,-26.4%,Jul 2026,"$25,600",Apr 2026,"$23,700",Jan 2026,"$21,900",Oct 2025,"$21,900",yes,No adjustments available
54,1997,Land Rover,Defender 90 NAS,https://www.hagerty.com/valuation-tools/land_rover/defender_90_(truck)/1997/1997-land_rover-defender_90_(truck)-base?id=aCn1I000000DLPPSA4,"2dr Wagon 4x4, 8-cyl. 3950cc/182hp MFI OHV",Jul 2026,"$160,000","$183,067","$136,933","$90,800","$113,867","$77,467","$50,800","$64,133","$45,067","$33,600","$39,333","$27,867",+4.1%,-7%,-32.1%,Jul 2026,"$50,800",Apr 2026,"$48,800",Jan 2026,"$48,800",Oct 2025,"$51,900",substituted,HVT page is Defender 90 (truck) Base; no HVT result explicitly labeled NAS. No adjustments available
55,1985,Toyota,Land Cruiser FJ60,https://www.hagerty.com/valuation-tools/toyota/land_cruiser/1985/1985-toyota-land_cruiser-fj60?id=aCn1I000000Cx0fSAC,"4dr Station Wagon 4x4, 6-cyl. 4230cc/135hp 2bbl",Jul 2026,"$95,900","$107,667","$84,133","$60,600","$72,367","$48,667","$24,800","$36,733","$18,500","$5,900","$12,200",,0%,-15.1%,-20%,Jul 2026,"$24,800",Apr 2026,"$24,800",Jan 2026,"$26,100",Oct 2025,"$26,900",yes,No adjustments available. v4 Lo not shown on page (dash)
56,1991,Lamborghini,Diablo,https://www.hagerty.com/valuation-tools/lamborghini/diablo/1991/1991-lamborghini-diablo-base?id=aCn1I000000CvUtSAK,"2dr Coupe, 12-cyl. 5707cc/485hp SMPFI",Jul 2026,"$385,000","$414,667","$355,333","$296,000","$325,667","$279,000","$245,000","$262,000","$212,000","$146,000","$179,000","$113,000",+5.2%,+8.4%,+45%,Jul 2026,"$245,000",Apr 2026,"$233,000",Jan 2026,"$233,000",Oct 2025,"$233,000",yes,No adjustments available
57,1993,Dodge,Viper RT/10,https://www.hagerty.com/valuation-tools/dodge/viper/1993/1993-dodge-viper-rt!!10?id=aCn1I000000D96xSAC,"2dr Roadster, 10-cyl. 488cid/400hp SFI",Jul 2026,"$69,100","$77,700","$60,500","$43,300","$51,900","$40,267","$34,200","$37,233","$30,300","$22,500","$26,400","$18,600",0%,-7.1%,-18.2%,Jul 2026,"$34,200",Apr 2026,"$34,200",Jan 2026,"$35,300",Oct 2025,"$36,400",yes,No adjustments available
58,1997,Porsche,911 Turbo (993),https://www.hagerty.com/valuation-tools/porsche/911/1997/1997-porsche-911-turbo?id=aCn1I000000DKaESAW,"2dr Coupe, 6-cyl. 3601cc/400hp Turbo",Jul 2026,"$475,000","$520,000","$430,000","$340,000","$385,000","$305,000","$235,000","$270,000","$206,667","$150,000","$178,333","$121,667",0%,+6.8%,+31.3%,Jul 2026,"$235,000",Apr 2026,"$235,000",Jan 2026,"$235,000",Oct 2025,"$235,000",yes,"HVT lists 1 add adjustment, details not captured. Apr 2026 and Jan 2026 chart tooltips not reliably readable, left blank | -15% for Tiptronic"
