car_id,year,make,model_trim,status,year_scope_used,window,basis,n,thin,median,p25,p75,min,max
32,1987,"Porsche 911 Carrera",compare,exact 1987,W2,sold+fee (online),9,no,95025,86625,107100,66150,148036
32,1987,"Porsche 911 Carrera",compare,exact 1987,W3,sold+fee (online),49,no,89250,73500,102900,49613,148036
33,1989,"Porsche 911 Speedster",compare,adjacent years pooled (1987-1989),W1,n/a,0,yes,,,,,
33,1989,"Porsche 911 Speedster",compare,adjacent years pooled (1987-1989),W2,n/a,0,yes,,,,,
33,1989,"Porsche 911 Speedster",compare,adjacent years pooled (1987-1989),W3,n/a,0,yes,,,,,
34,1994,"Porsche 911 Turbo",compare,adjacent years pooled (1992-1994),W1,mixed (35% house buyer-paid, rest sold+fee),9,no,555000,396000,838500,232500,2480000
34,1994,"Porsche 911 Turbo",compare,adjacent years pooled (1992-1994),W2,mixed (35% house buyer-paid, rest sold+fee),0,yes,,,,,
34,1994,"Porsche 911 Turbo",compare,adjacent years pooled (1992-1994),W3,mixed (35% house buyer-paid, rest sold+fee),17,no,407464,383500,607501,232500,2480000
35,1995,"Porsche 928 GTS",compare,adjacent years pooled (1993-1997),W1,n/a,0,yes,,,,,
35,1995,"Porsche 928 GTS",compare,adjacent years pooled (1993-1997),W2,n/a,0,yes,,,,,
35,1995,"Porsche 928 GTS",compare,adjacent years pooled (1993-1997),W3,n/a,0,yes,,,,,
36,1987,"Porsche 944 Turbo",compare,adjacent years pooled (1985-1989),W1,mixed (25% house buyer-paid, rest sold+fee),10,no,184350,157963,208475,134400,257600
36,1987,"Porsche 944 Turbo",compare,adjacent years pooled (1985-1989),W2,mixed (25% house buyer-paid, rest sold+fee),0,yes,,,,,
36,1987,"Porsche 944 Turbo",compare,adjacent years pooled (1985-1989),W3,mixed (25% house buyer-paid, rest sold+fee),40,no,162500,135975,209583,84525,257600
37,1989,"Ferrari Testarossa",compare,adjacent years pooled (1987-1991),W1,mixed (25% house buyer-paid, rest sold+fee),23,no,173880,156625,194000,105000,264000
